"TIME","VEL","VEL","ASPECT","X-DIST","Y-HEIGHT","SLANT","DRAG","ACCL","RETARD"
"ms","m/s","mach","deg","m","m","m","","m/s/s","m/s/m"
"","","","","","","","","",""
"0.0","317.81","0.9432","0.0","0.0","0.0","0.0","0.673","-65.328","0.2056"
"10.0","317.16","0.9412","0.0","3.17","0.17","3.18","0.676","-65.328","0.206"
"20.0","316.5","0.9393","0.0","6.33","0.34","6.34","0.679","-65.328","0.2064"
"30.0","315.85","0.9373","0.0","9.49","0.51","9.51","0.682","-65.328","0.2068"
"40.0","315.2","0.9354","0.0","12.64","0.68","12.66","0.684","-65.328","0.2073"
"50.0","314.54","0.9335","0.0","15.79","0.84","15.81","0.687","-65.328","0.2077"
"60.0","313.89","0.9315","0.1","18.92","1.01","18.95","0.69","-65.328","0.2081"
"70.0","313.24","0.9296","0.1","22.06","1.17","22.09","0.693","-65.328","0.2086"
"80.0","312.58","0.9276","0.1","25.18","1.33","25.22","0.696","-65.328","0.209"
"90.0","311.93","0.9257","0.1","28.3","1.49","28.34","0.699","-65.328","0.2094"
"100.0","311.28","0.9238","0.1","31.41","1.65","31.45","0.702","-65.328","0.2099"
"110.0","310.62","0.9218","0.1","34.52","1.81","34.56","0.705","-65.328","0.2103"
"120.0","309.97","0.9199","0.1","37.62","1.97","37.67","0.696","-64.261","0.2073"
"130.0","309.35","0.9181","0.1","40.71","2.12","40.76","0.684","-62.882","0.2033"
"140.0","308.7","0.9161","0.1","43.79","2.28","43.85","0.666","-61.006","0.1976"
"150.0","308.09","0.9143","0.1","46.87","2.43","46.94","0.682","-62.137","0.2017"
"160.0","307.46","0.9125","0.2","49.95","2.58","50.02","0.69","-62.635","0.2037"
"170.0","306.84","0.9106","0.2","53.02","2.73","53.09","0.699","-63.155","0.2058"
"180.0","306.21","0.9087","0.2","56.08","2.88","56.15","0.675","-60.779","0.1985"
"190.0","305.63","0.907","0.2","59.13","3.03","59.21","0.671","-60.188","0.1969"
"200.0","305.05","0.9053","0.2","62.18","3.17","62.26","0.674","-60.222","0.1974"
"210.0","304.44","0.9035","0.2","65.23","3.32","65.31","0.654","-58.225","0.1913"
"220.0","303.84","0.9017","0.2","68.27","3.46","68.35","0.637","-56.494","0.1859"
"230.0","303.26","0.9","0.2","71.3","3.61","71.39","0.655","-57.852","0.1908"
"240.0","302.68","0.8983","0.2","74.32","3.75","74.42","0.679","-59.701","0.1972"
"250.0","302.08","0.8965","0.2","77.34","3.89","77.44","0.701","-61.384","0.2032"
"260.0","301.48","0.8947","0.2","80.36","4.03","80.46","0.695","-60.61","0.201"
"270.0","300.89","0.893","0.3","83.37","4.16","83.47","0.682","-59.324","0.1972"
"280.0","300.3","0.8912","0.3","86.37","4.3","86.48","0.673","-58.244","0.194"
"290.0","299.72","0.8895","0.3","89.37","4.44","89.48","0.661","-57.06","0.1904"
"300.0","299.15","0.8878","0.3","92.36","4.57","92.47","0.653","-56.091","0.1875"
"310.0","298.59","0.8861","0.3","95.35","4.7","95.46","0.649","-55.539","0.186"
"320.0","298.02","0.8844","0.3","98.33","4.83","98.44","0.663","-56.524","0.1897"
"330.0","297.47","0.8828","0.3","101.3","4.96","101.42","0.661","-56.142","0.1887"
"340.0","296.9","0.8811","0.3","104.27","5.09","104.39","0.657","-55.607","0.1873"
"350.0","296.36","0.8795","0.3","107.23","5.22","107.36","0.654","-55.152","0.1861"
"360.0","295.8","0.8779","0.3","110.19","5.35","110.32","0.657","-55.186","0.1866"
"370.0","295.25","0.8762","0.4","113.14","5.47","113.28","0.657","-55.031","0.1864"
"380.0","294.7","0.8746","0.4","116.09","5.6","116.23","0.647","-53.989","0.1832"
"390.0","294.16","0.873","0.4","119.03","5.72","119.17","0.657","-54.563","0.1855"
"400.0","293.62","0.8714","0.4","121.97","5.84","122.11","0.659","-54.563","0.1858"
"410.0","293.09","0.8698","0.4","124.9","5.96","125.04","0.65","-53.599","0.1829"
"420.0","292.56","0.8682","0.4","127.83","6.08","127.97","0.633","-51.998","0.1777"
"430.0","292.03","0.8667","0.4","130.75","6.2","130.89","0.629","-51.491","0.1763"
"440.0","291.52","0.8652","0.4","133.66","6.32","133.81","0.629","-51.359","0.1762"
"450.0","291.0","0.8636","0.4","136.57","6.43","136.72","0.623","-50.705","0.1742"
"460.0","290.51","0.8622","0.4","139.48","6.55","139.63","0.613","-49.68","0.171"
"470.0","290.0","0.8607","0.5","142.38","6.66","142.53","0.627","-50.655","0.1747"
"480.0","289.49","0.8591","0.5","145.27","6.77","145.43","0.633","-50.939","0.176"
"490.0","288.98","0.8576","0.5","148.16","6.88","148.32","0.633","-50.722","0.1755"
"500.0","288.48","0.8561","0.5","151.05","6.99","151.21","0.63","-50.346","0.1745"
"510.0","287.98","0.8546","0.5","153.93","7.1","154.09","0.637","-50.73","0.1762"
"520.0","287.48","0.8532","0.5","156.8","7.21","156.97","0.634","-50.307","0.175"
"530.0","286.98","0.8517","0.5","159.68","7.32","159.84","0.615","-48.674","0.1696"
"540.0","286.48","0.8502","0.5","162.54","7.42","162.71","0.619","-48.81","0.1704"
"550.0","285.98","0.8487","0.5","165.4","7.53","165.57","0.637","-49.981","0.1748"
"560.0","285.48","0.8473","0.5","168.26","7.63","168.43","0.645","-50.425","0.1766"
"570.0","284.99","0.8458","0.6","171.11","7.73","171.28","0.64","-49.913","0.1751"
"580.0","284.5","0.8443","0.6","173.95","7.83","174.13","0.64","-49.72","0.1748"
"590.0","284.01","0.8429","0.6","176.79","7.93","176.97","0.627","-48.551","0.171"
"600.0","283.51","0.8414","0.6","179.63","8.03","179.81","0.625","-48.232","0.1701"
"610.0","283.02","0.84","0.6","182.46","8.12","182.64","0.622","-47.796","0.1689"
"620.0","282.55","0.8386","0.6","185.29","8.22","185.47","0.627","-48.028","0.17"
"630.0","282.07","0.8371","0.6","188.11","8.32","188.29","0.634","-48.402","0.1716"
"640.0","281.6","0.8357","0.6","190.93","8.41","191.11","0.624","-47.496","0.1687"
"650.0","281.12","0.8343","0.6","193.74","8.5","193.93","0.617","-46.781","0.1664"
"660.0","280.64","0.8329","0.7","196.55","8.59","196.73","0.624","-47.166","0.1681"
"670.0","280.15","0.8315","0.7","199.35","8.68","199.54","0.643","-48.433","0.1729"
"680.0","279.67","0.83","0.7","202.15","8.77","202.34","0.66","-49.524","0.1771"
"690.0","279.18","0.8286","0.7","204.94","8.86","205.13","0.67","-50.103","0.1795"
"700.0","278.69","0.8271","0.7","207.73","8.95","207.92","0.681","-50.744","0.1821"
"710.0","278.19","0.8256","0.7","210.51","9.03","210.71","0.662","-49.15","0.1767"
"720.0","277.71","0.8242","0.7","213.29","9.12","213.48","0.635","-47.007","0.1693"
"730.0","277.25","0.8229","0.7","216.06","9.2","216.26","0.614","-45.319","0.1635"
"740.0","276.79","0.8215","0.7","218.83","9.28","219.03","0.606","-44.55","0.161"
"750.0","276.34","0.8202","0.8","221.6","9.36","221.8","0.605","-44.366","0.1606"
"760.0","275.88","0.8188","0.8","224.36","9.44","224.56","0.615","-44.895","0.1627"
"770.0","275.43","0.8175","0.8","227.11","9.52","227.31","0.633","-46.1","0.1674"
"780.0","274.97","0.8161","0.8","229.86","9.6","230.06","0.653","-47.372","0.1723"
"790.0","274.5","0.8147","0.8","232.61","9.68","232.81","0.665","-48.052","0.1751"
"800.0","274.03","0.8133","0.8","235.35","9.75","235.55","0.659","-47.436","0.1731"
"810.0","273.55","0.8119","0.8","238.09","9.83","238.29","0.662","-47.48","0.1736"
"820.0","273.08","0.8105","0.8","240.82","9.9","241.03","0.66","-47.218","0.1729"
"830.0","272.61","0.8091","0.8","243.55","9.97","243.75","0.657","-46.843","0.1718"
"840.0","272.15","0.8077","0.9","246.27","10.05","246.48","0.643","-45.686","0.1679"
"850.0","271.69","0.8064","0.9","248.99","10.12","249.2","0.651","-46.081","0.1696"
"860.0","271.23","0.805","0.9","251.71","10.18","251.91","0.651","-45.89","0.1692"
"870.0","270.77","0.8037","0.9","254.42","10.25","254.62","0.639","-44.942","0.166"
"880.0","270.34","0.8024","0.9","257.12","10.32","257.33","0.631","-44.224","0.1636"
"890.0","269.89","0.801","0.9","259.82","10.39","260.03","0.637","-44.468","0.1648"
"900.0","269.44","0.7997","0.9","262.52","10.45","262.73","0.637","-44.342","0.1646"
"910.0","269.0","0.7984","0.9","265.21","10.51","265.42","0.626","-43.43","0.1615"
"920.0","268.56","0.7971","0.9","267.9","10.58","268.1","0.638","-44.143","0.1644"
"930.0","268.12","0.7958","1.0","270.58","10.64","270.79","0.647","-44.592","0.1663"
"940.0","267.69","0.7945","1.0","273.26","10.7","273.47","0.633","-43.502","0.1625"
"950.0","267.28","0.7933","1.0","275.93","10.76","276.14","0.596","-40.821","0.1527"
"960.0","266.89","0.7922","1.0","278.6","10.82","278.81","0.565","-38.645","0.1448"
"970.0","266.49","0.791","1.0","281.27","10.87","281.48","0.561","-38.199","0.1433"
"980.0","266.08","0.7898","1.0","283.93","10.93","284.14","0.568","-38.591","0.145"
"990.0","265.68","0.7886","1.0","286.59","10.98","286.8","0.595","-40.31","0.1517"
"1000.0","265.27","0.7874","1.0","289.25","11.04","289.46","0.632","-42.614","0.1606"
"1010.0","264.86","0.7862","1.0","291.9","11.09","292.11","0.657","-44.193","0.1669"
"1020.0","264.43","0.7849","1.1","294.54","11.14","294.75","0.64","-42.895","0.1622"
"1030.0","264.02","0.7837","1.1","297.19","11.19","297.4","0.609","-40.724","0.1543"
"1040.0","263.61","0.7824","1.1","299.82","11.24","300.03","0.593","-39.48","0.1498"
"1050.0","263.21","0.7813","1.1","302.46","11.29","302.67","0.581","-38.622","0.1467"
"1060.0","262.82","0.7801","1.1","305.09","11.34","305.3","0.572","-37.888","0.1442"
"1070.0","262.45","0.779","1.1","307.71","11.39","307.92","0.569","-37.613","0.1433"
"1080.0","262.07","0.7779","1.1","310.34","11.43","310.55","0.584","-38.426","0.1466"
"1090.0","261.69","0.7768","1.1","312.96","11.48","313.17","0.582","-38.225","0.1461"
"1100.0","261.32","0.7757","1.2","315.57","11.52","315.78","0.564","-36.965","0.1415"
"1110.0","260.97","0.7746","1.2","318.18","11.56","318.39","0.534","-34.916","0.1338"
"1120.0","260.62","0.7736","1.2","320.79","11.6","321.0","0.527","-34.322","0.1317"
"1130.0","260.27","0.7726","1.2","323.4","11.64","323.6","0.517","-33.573","0.129"
"1140.0","259.92","0.7715","1.2","326.0","11.68","326.21","0.52","-33.688","0.1296"
"1150.0","259.56","0.7705","1.2","328.59","11.72","328.8","0.554","-35.77","0.1378"
"1160.0","259.19","0.7694","1.2","331.19","11.76","331.4","0.598","-38.476","0.1485"
"1170.0","258.81","0.7682","1.2","333.78","11.79","333.99","0.625","-40.076","0.1549"
"1180.0","258.43","0.7671","1.3","336.36","11.83","336.57","0.608","-38.922","0.1506"
"1190.0","258.05","0.766","1.3","338.95","11.86","339.16","0.604","-38.511","0.1492"
"1200.0","257.66","0.7649","1.3","341.53","11.9","341.73","0.585","-37.223","0.1445"
"1210.0","257.29","0.7637","1.3","344.1","11.93","344.31","0.566","-35.901","0.1395"
"1220.0","256.93","0.7627","1.3","346.67","11.96","346.88","0.545","-34.505","0.1343"
